session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Nationality,Sex,Student Status
5f1eeda9a8ad8203a6646192,5eda19fa68ef200309777c96,AWAITING REVIEW,2020-07-27 15:07:21.875000,2020-07-27 16:21:22.297000,4440.422,19,42,0,100,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,English,United Kingdom,Female,Yes
5f1eeda95bfa2a05802c4695,5e85f278c880ee1edb7e96ee,AWAITING REVIEW,2020-07-27 15:07:21.967000,2020-07-27 16:04:24.226000,3422.259,24,149,0,100,,6668AF37,Hong Kong,United Kingdom,"London, England ",Full-Time,English,United Kingdom,Female,No
5f1eedabe667cb0517731ec2,5eb05ee34ca8a81042c289ab,AWAITING REVIEW,2020-07-27 15:08:16.376000,2020-07-27 16:50:02.499000,6106.123,29,92,0,100,,6668AF37,United Kingdom,United Kingdom,"London, England ",Full-Time,English,United Kingdom,Female,No
5f1eedacc4175b052410d341,5e624934628597000be6b240,AWAITING REVIEW,2020-07-27 15:07:48.248000,2020-07-27 16:51:10.255000,6202.007,29,109,0,100,,6668AF37,United Kingdom,United Kingdom,"London, England ",Unemployed (and job seeking),English,United Kingdom,Male,No
5f1eedacd648a003f4fe0d90,5d93264e3e74670014b4b981,APPROVED,2020-07-27 15:07:24.529000,2020-07-27 16:53:52.343000,6387.814,34,239,1,100,2020-07-28 15:12:34.452000,NOCODE,United Kingdom,United Kingdom,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Full-Time,English,United Kingdom,Male,No
5f1ef4094c364206b242889b,5e1ed72fb0285720462a8649,AWAITING REVIEW,2020-07-27 15:34:39.552000,2020-07-27 16:13:31.510000,2331.958,41,172,0,100,,6668AF37,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,English,United Kingdom,Female,No
5f1ef409beebbe068c6c7687,5e642059211a831a2b490c06,AWAITING REVIEW,2020-07-27 15:34:57.088000,2020-07-27 16:32:30.610000,3453.522,25,108,0,100,,6668AF37,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Unemployed (and job seeking),English,United Kingdom,Female,No
5f1ef40ac8e4a705e3fb98b3,5c56550e54f9d30001db7f50,AWAITING REVIEW,2020-07-27 15:34:34.837000,2020-07-27 16:40:51.811000,3976.974,34,426,7,98,,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,United Kingdom,Male,No
5f1ef40b62e3b6069c2f14c9,5c2fb1412c45d400014ae103,AWAITING REVIEW,2020-07-27 15:34:35.887000,2020-07-27 16:35:00.674000,3624.787,26,95,0,100,,6668AF37,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Full-Time,English,United Kingdom,Male,No
5f1ef40cae08e1068f890328,5c4867155707c80001efd958,AWAITING REVIEW,2020-07-27 15:34:36.136000,2020-07-27 17:08:14.319000,5618.183,30,630,3,100,,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,United Kingdom,Male,No
